; CSV, generated by logic-mcp example
; Channels (12)
; Sample rate: 100000000 Hz
; Sample count: 35
; Compressed export
Time(s),RS,CS,RD,WR,DB0,DB1,DB2,DB3,DB4,DB5,DB6,DB7
0.000000000e+00,1,1,1,1,0,0,0,0,0,0,0,0
1.000000000e-07,1,0,0,1,0,0,0,0,0,0,0,0
2.000000000e-07,1,0,1,1,0,0,0,0,0,0,0,0
3.000000000e-07,0,0,1,0,0,1,0,1,1,1,0,0
4.000000000e-07,0,0,1,1,0,1,0,1,1,1,0,0
5.000000000e-07,1,0,1,0,1,0,1,0,1,0,1,0
6.000000000e-07,1,0,1,1,1,0,1,0,1,0,1,0
7.000000000e-07,0,0,1,0,1,0,0,0,1,0,0,0
8.000000000e-07,0,0,1,1,1,0,0,0,1,0,0,0
9.000000000e-07,0,0,1,0,0,1,1,0,1,1,0,0
1.000000000e-06,0,0,1,1,0,1,1,0,1,1,0,0
1.100000000e-06,1,0,1,0,0,0,0,0,0,0,0,0
1.200000000e-06,1,0,1,1,0,0,0,0,0,0,0,0
1.300000000e-06,0,0,1,0,0,1,0,1,0,1,0,0
1.400000000e-06,0,0,1,1,0,1,0,1,0,1,0,0
1.500000000e-06,1,0,1,0,0,0,0,0,0,0,0,0
1.600000000e-06,1,0,1,1,0,0,0,0,0,0,0,0
1.700000000e-06,1,0,1,0,0,0,0,0,0,0,0,0
1.800000000e-06,1,0,1,1,0,0,0,0,0,0,0,0
1.900000000e-06,1,0,1,0,0,0,0,0,0,0,0,0
2.000000000e-06,1,0,1,1,0,0,0,0,0,0,0,0
2.100000000e-06,1,0,1,0,1,1,1,1,0,1,1,1
2.200000000e-06,1,0,1,1,1,1,1,1,0,1,1,1
2.300000000e-06,0,0,1,0,1,1,0,1,0,1,0,0
2.400000000e-06,0,0,1,1,1,1,0,1,0,1,0,0
2.500000000e-06,1,0,1,0,0,0,0,0,0,0,0,0
2.600000000e-06,1,0,1,1,0,0,0,0,0,0,0,0
2.700000000e-06,1,0,1,0,0,0,0,0,0,0,0,0
2.800000000e-06,1,0,1,1,0,0,0,0,0,0,0,0
2.900000000e-06,1,0,1,0,1,0,0,0,0,0,0,0
3.000000000e-06,1,0,1,1,1,0,0,0,0,0,0,0
3.100000000e-06,1,0,1,0,1,1,1,1,1,1,0,0
3.200000000e-06,1,0,1,1,1,1,1,1,1,1,0,0
3.300000000e-06,0,0,1,0,1,0,0,1,0,1,0,0
3.400000000e-06,0,0,1,1,1,0,0,1,0,1,0,0
